quarter,gdp_real_sa,gov_exp_sa,hicp_index_2015_100_q_avg,infl_q_dlog_pct,euribor3m_q_avg,gdp_g_q_dlog_pct,gov_g_q_dlog_pct,taxes_mrd_eur,tax_g_q_dlog_pct
2000Q2,708.519,254.192,78.63333333333334,0.0848176471544448,4.263333333333333,0.7945169824757237,0.068081960714128,128.025,9.795456355823884
2000Q3,709.037,254.411,79.13333333333334,0.6338495761937679,4.736666666666667,0.0730835357553694,0.0861182547231997,115.692,-10.129406987837086
2000Q4,706.017,260.823,79.39999999999999,0.3364174745631665,5.023333333333333,-0.4268394824737953,2.489094682312132,137.587,17.33249568216051
2001Q1,721.006,259.104,79.83333333333333,0.5442759929771057,4.746666666666666,2.100814250218175,-0.6612490844317698,115.889,-17.162360785498443
2001Q2,719.195,259.721,80.60000000000001,0.955752132972254,4.59,-0.2514928061468247,0.2378452429494082,121.245,4.518045541705362
2001Q3,719.195,260.663,80.73333333333333,0.1652892938299288,4.266666666666667,0.0,0.362040734890634,111.225,-8.625811516181248
2001Q4,716.952,266.742,80.56666666666666,-0.206654340955481,3.4466666666666668,-0.3123638212198187,2.305351382210219,127.76,13.859832721465182
2002Q1,713.609,265.204,81.33333333333333,0.9470937583764716,3.3633333333333333,-0.4673699458077607,-0.5782557949985723,111.931,-13.22708938902144
2002Q2,716.369,267.199,81.53333333333333,0.2455997959869726,3.4466666666666668,0.3860204041277626,0.749435798629694,115.964,3.5397188095314114
2002Q3,721.287,268.114,81.63333333333333,0.1225740705049993,3.356666666666667,0.6841718998039426,0.3418564059163742,112.864,-2.7096244058215646
2002Q4,719.303,272.121,81.5,-0.1634655043194932,3.106666666666667,-0.2754428747060444,1.4834557119757896,131.898,15.58453425523938
2003Q1,709.533,270.336,82.3,0.976808743620694,2.6833333333333336,-1.367568043977574,-0.6581190555806415,114.578,-14.077308283118217
2003Q2,710.568,272.253,82.23333333333333,-0.0810372815823079,2.36,0.1457643059553426,0.7066151272471899,120.287,4.8624740191139715
2003Q3,717.038,273.792,82.46666666666667,0.2833436423077096,2.14,0.9064187594618468,0.5636912983780995,111.509,-7.577524883451137
2003Q4,717.901,270.721,82.5,0.0404122050357003,2.15,0.120283873258753,-1.1279923755421528,132.403,17.17449967249962
2004Q1,716.801,272.588,83.13333333333334,0.7647451237191127,2.063333333333333,-0.1533419784098377,0.6872727486116226,115.825,-13.37698705537651
2004Q2,721.028,269.451,83.83333333333333,0.8384956293857826,2.083333333333333,0.5879714733314501,-1.15749421142759,119.853,3.4185560553514627
2004Q3,718.699,269.41,84.13333333333333,0.3572141127264672,2.1166666666666667,-0.3235338410060073,-0.0152172824082974,112.164,-6.630390586778034
2004Q4,718.44,265.632,84.26666666666667,0.1583531605644061,2.1633333333333336,-0.0360438347026814,-1.4122490539596022,130.156,14.877164504261842
2005Q1,719.583,274.18,84.60000000000001,0.3947893007585357,2.143333333333333,0.1589682836374173,3.16729327351295,119.305,-8.705049165707646
2005Q2,723.896,273.404,85.13333333333334,0.6284388318150924,2.1266666666666665,0.5975858097108322,-0.2834270247023873,120.57,1.0547257755231243
2005Q3,729.59,271.896,85.93333333333334,0.9353146906648568,2.1300000000000003,0.783499686709721,-0.553091452143395,116.389,-3.529246801566366
2005Q4,732.351,270.513,86.16666666666667,0.2711603443396271,2.3433333333333333,0.377717470487493,-0.509948395784221,134.848,14.721018906816763
2006Q1,740.524,276.81,86.33333333333333,0.1932367751054542,2.61,1.1098136485351515,2.301119397711915,126.447,-6.432497013959448
2006Q2,753.206,274.034,86.96666666666665,0.7309130443144518,2.89,1.6980719046885362,-1.0079163977491312,131.892,4.216015783263405
2006Q3,758.9,273.532,87.3,0.3825559370983278,3.223333333333333,0.7531253646914315,-0.1833569435072846,125.835,-4.701188090839548
2006Q4,770.028,274.897,87.3,0.0,3.5933333333333337,1.4556861413085542,0.4977865206348575,145.511,14.528016016210987
2007Q1,771.042,277.528,87.93333333333334,0.7228488769547958,3.82,0.1315968964854974,0.9525346944878166,140.798,-3.2925446050875884
2007Q2,776.132,273.831,88.7,0.8680937700429325,4.066666666666667,0.6579762022304259,-1.3410701222500876,145.997,3.625983447441694
2007Q3,780.1,275.738,89.23333333333333,0.5994772542663895,4.5,0.5099507784155577,0.6940011732897489,135.735,-7.288161808081206
2007Q4,785.88,279.782,89.93333333333334,0.7813993247348883,4.726666666666667,0.7381992423695749,1.4559588988902306,155.74,13.748349467763354
2008Q1,790.495,285.528,90.63333333333333,0.7753407864768747,4.48,0.585522250087056,2.032936934579954,147.006,-5.771454787653685
2008Q2,787.649,286.378,91.4,0.8423415489788866,4.86,-0.3606772367103161,0.2972518651224831,152.611,3.7418797859558595
2008Q3,783.335,285.003,92.1,0.7629464801157226,4.983333333333333,-0.5492113024324397,-0.4812909964520884,141.26,-7.7290036151086206
2008Q4,771.171,293.37,91.46666666666664,-0.690033607764029,4.213333333333334,-1.5650307272547792,2.8934904463254973,156.469,10.225574331129739
2009Q1,735.025,293.438,91.36666666666667,-0.1093892542990637,2.013333333333333,-4.800562661502905,0.0231762349198305,143.987,-8.313488956913417
2009Q2,736.836,299.43,91.56666666666666,0.2186589792488646,1.3099999999999998,0.2460831442514077,2.021429402511288,144.128,0.09787759141763885
2009Q3,741.409,304.532,91.76666666666668,0.2181819047333277,0.87,0.618708615672503,1.6895504573733788,132.171,-8.660525488255466
2009Q4,747.103,307.418,91.8,0.036317414599285,0.7233333333333333,0.7650630661328428,0.9432213077689156,147.987,11.302789331374807
2010Q1,752.537,305.551,92.06666666666666,0.290065468063716,0.6633333333333334,0.7247104349072941,-0.6091680895680796,134.073,-9.874000433463337
2010Q2,768.842,308.198,92.5,0.4695692211297064,0.69,2.143532190754893,0.8625729449945219,146.697,8.998480730840797
2010Q3,776.261,338.371,92.8,0.3237995273775773,0.8766666666666666,0.9603317082698126,9.340049308801657,133.926,-9.108182643715335
2010Q4,781.351,306.587,93.23333333333332,0.4658671747649556,1.02,0.6535668854955823,-9.864136164337545,153.166,13.423489195610205
